ID,Ident (Rust-friendly),Label,Category,"Layer (Semantic, Serialization, Armor, Compression, Container)","MIME (Primary MIME type first, followed by comma-separated aliases)","Extensions (Primary extension first, followed by comma-separated alternatives)",Magic,BaseFormat or Chain,"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation."
14,Text,Text,document,,,txt,,,,,,encoding,HTML and text both should default to UTF8 as the default encoding. Encodings fill a somewhat odd role since they are both encodings and formats (with the text format plus a given encoding being the same thing as that encoding by itself).
15,Lang_En,English,language,,,en,,,,1,,,"Most formats have language variant types, for printing structured metadata where it’s not supported. Whether it should be printed by default is debateable."
16,Lang_En_Us,English (US),language,,,en-US,,Lang_En,,,,,"Language variants aren’t handled as format variants of the languages they are variants of, since there aren’t tons of possible combinations (at least that are practical to support). Instead, the type is given as lv: followed by the language identifier of which they are a variant (without the lang_ prefix)."
17,Elad,EITE Language in ASCII documents (ELAD),document,,,elad,,,,1,,,
18,JavaScript,JavaScript,programming,,,js,,,,,,,"Programming languages are both formats on their own account, and variants of other formats: for exporting to a text-based format, you could opt to have programmatic Dcs exported to a programming language or a natlang."
19,SemanticToText,Semantic Dcs to text,transformation,,,,,,1,,,,“transformation” types operate on documents stored as arrays of Dcs.
20,CodeToText,Programmatic Dcs to text,transformation,,,,,,1,,,,
21,EiteColorCoded,Color-coded HTML integer list,document,,,htm,,,,1,,,HTML file containing color-coded Dc integer list
22,LineEndingLf,Lines terminated by LF. POSIX,v:lineEndings,,,,,,,,,,
23,LineEndingCr,"Lines terminated by CR, which (TBD: separate or terminated?) is used by Mac (traditional)",v:lineEndings,,,,,,,,,,
24,LineEndingCrLf,"Lines terminated by CRLF, which (TBD: separate or terminated?) is used by Windows",v:lineEndings,,,,,,,,,,
25,LineEndingLfCr,"Lines terminated by LFCR, which (TBD: separate or terminated?) is used by Acorn; RISC",v:lineEndings,,,,,,,,,,
26,LineEndingRs,"Lines terminated by RS, which (TBD: separate or terminated?) is used by QNX (traditional)",v:lineEndings,,,,,,,,,,
27,LineEndingNl,"Lines terminated by NL (NEL), which (TBD: separate or terminated?) is used by EBCDIC/IBM",v:lineEndings,,,,,,,,,,
28,LineSeparatorLf,Lines separated by LF,v:lineEndings,,,,,,,,,,
29,LineSeparatorCr,Lines separated by CR,v:lineEndings,,,,,,,,,,
30,LineSeparatorCrLf,Lines separated by CRLF,v:lineEndings,,,,,,,,,,
31,LineSeparatorLfCr,Lines separated by LFCR,v:lineEndings,,,,,,,,,,
32,LineSeparatorRs,Lines separated by RS,v:lineEndings,,,,,,,,,,
33,LineSeparatorNl,Lines separated by NL (NEL),v:lineEndings,,,,,,,,,,
34,Brotli,Brotli compression (RFC 9841),compression,,,,,,,,,,
35,Gzip,Gzip compression (RFC 1952),compression,,,,,,,,,,
36,Deflate,Deflate compression (RFC 1591),compression,,,,,,,,,,
37,Zlib,Zlib compression (RFC 1950),compression,,,,,,,,,,
38,Bzip2,Bzip2 compression,compression,,,,,,,,,,
39,Bzip,Original bzip compression,compression,,,,,,,,,,
40,Zstd,Zstandard compression,compression,,,,,,,,,,
41,Lzip,Lzip compression,compression,,,,,,,,,,
42,Xz,XZ compression,compression,,,,,,,,,,
43,ScoCompress,SCO `compress -H`,compression,,,,,,,,,,
44,CompressLzw,Modern `compress` command,compression,,,,,,,,,,
45,CompressLzw1,`compress` version 1.0,compression,,,,,,,,,,
46,CompressLzw16,`compress` version 1.6,compression,,,,,,,,,,
47,CompressLzw2,`compress` version 2,compression,,,,,,,,,,
48,Pack,`pack`,compression,,,,,,,,,,
49,OldPack,"`pack`, early version",compression,,,,,,,,,,
50,Compact,`compact`,compression,,,,,,,,,,
51,BaseString,Numbers/data encoded using an alphabet,semantic,,,,,,,,,,
52,Base64,The standard Base64 encoding,armor,,,,,BaseString,,,,,
53,Hexadecimal,"Hexadecimal, lowercase (output) or case-insensitive (input)",armor,,,,,,,,,,
54,Hexadecimal0xPrefix,"Hexadecimal, lowercase (output) or case-insensitive (input), prefixed with 0x",armor,,,,,,,,,,
55,HexdumpClassic,Classic hexdump format,armor,,,,,,,,,,
56,HexdumpFancy437,Fancy hexdump format used in ctoolbox web UI,armor,,,,,,,,,,
57,Base16b,Modified Base16b family,armor,,,,,,,,,,
58,Base16b_7,"Base16b, base 7",armor,,,,,Base16b,,,,,
59,Base16b_8,"Base16b, base 8",armor,,,,,Base16b,,,,,
60,Base16b_9,"Base16b, base 9",armor,,,,,Base16b,,,,,
61,Base16b_10,"Base16b, base 10",armor,,,,,Base16b,,,,,
62,Base16b_11,"Base16b, base 11",armor,,,,,Base16b,,,,,
63,Base16b_12,"Base16b, base 12",armor,,,,,Base16b,,,,,
64,Base16b_13,"Base16b, base 13",armor,,,,,Base16b,,,,,
65,Base16b_14,"Base16b, base 14",armor,,,,,Base16b,,,,,
66,Base16b_15,"Base16b, base 15",armor,,,,,Base16b,,,,,
67,Base16b_16,"Base16b, base 16",armor,,,,,Base16b,,,,,
68,Base16b_17,"Base16b, base 17",armor,,,,,Base16b,,,,,
69,BaseNb_7,"BaseNb, base 7",armor,,,,,BaseNb,,,,,
70,BaseNb_8,"BaseNb, base 8",armor,,,,,BaseNb,,,,,
71,BaseNb_9,"BaseNb, base 9",armor,,,,,BaseNb,,,,,
72,BaseNb_10,"BaseNb, base 10",armor,,,,,BaseNb,,,,,
73,BaseNb_11,"BaseNb, base 11",armor,,,,,BaseNb,,,,,
74,BaseNb_12,"BaseNb, base 12",armor,,,,,BaseNb,,,,,
75,BaseNb_13,"BaseNb, base 13",armor,,,,,BaseNb,,,,,
76,BaseNb_14,"BaseNb, base 14",armor,,,,,BaseNb,,,,,
77,BaseNb_15,"BaseNb, base 15",armor,,,,,BaseNb,,,,,
78,BaseNb_16,"BaseNb, base 16",armor,,,,,BaseNb,,,,,
79,BaseNb_17,"BaseNb, base 17",armor,,,,,BaseNb,,,,,
80,String,String,semantic,,,,,,,,,,
81,CString,C string (null-terminated),document,,,,,String,,,,,
82,PascalString,Pascal string,document,,,,,String,,,,,
83,Ucs2,UCS-2,encoding,,,,,Unicode,,,,,
84,Wtf8,WTF-8,encoding,,,,,Unicode,,,,,
85,Utf32_BE,"UTF-32, big-endian",encoding,,,,,Unicode,,,,,
86,Cp437,Code page 437 (CCSID 437),encoding,,,,,,,,,,
87,MacRoman,MacRoman,encoding,,,,,,,,,,
88,DcText,DcText,document,,,,,,,,,,
89,DcUtf,DcUtf,document,,,,,,,,,,
90,DcList,DcList,document,,,,,,,,,,
91,DcBasenbFragment,DcBasenb Fragment,v:unicodePua,,,,,DcBasenb,,,,,
92,Cdce,CDCE,document,,,,,,,,,,
93,CdceLegacy,CDCE (legacy),document,,,,,,,,,,
94,CdceLegacyStrict,"CDCE (legacy, strict)",document,,,,,,,,,,
95,Dce,DCE (automatic version selection),document,,,,,,,,,,
96,DceHex,DCE (hex-encoded),document,,,,,,,,,,
97,Dce_3_0a,DCE 3.0a,document,,,,,,,,,,
98,Dce_3_0a_raw,DCE 3.0a (raw),document,,,,,,,,,,
99,Dce_3_0a_hex,DCE 3.0a (hex-encoded),document,,,,,,,,,,
100,Dce_3_0a_raw_hex,DCE 3.0a (raw hex-encoded),document,,,,,,,,,,
101,Dce_3_0a_old,DCE 3.0a (old translator),document,,,,,,,,,,
102,Dce2txt,dce2txt,document,,,,,,,,,,
103,Dce2hex,dce2hex,document,,,,,,,,,,
104,Hex2dce,hex2dce,document,,,,,,,,,,
105,Dce_3_01a,DCE 3.01a,document,,,,,Dce,,,,,
106,Dce_3_01a_raw,DCE 3.01a (raw),document,,,,,Dce_3_01a,,,,,
107,Dce_3_01a_hex,DCE 3.01a (hex-encoded),document,,,,,Dce_3_01a & Hexadecimal,,,,,
108,Dce_3_01a_raw_hex,DCE 3.01a (raw hex-encoded),document,,,,,Dce_3_01a_raw & Hexadecimal,,,,,
109,DcIdList,Dc ID list (ASCII),document,,,,,,,,,,Is this the same thing as dcil?
110,Utf8_Base64,UTF-8 (Base64-encoded),encoding,,,,,Utf8 & Base64,,,,,Not really a unique format; it's a chain of UTF-8 within base64. Entered separately because it's separate in dceutils.
111,Utf8_Dc64,"UTF-8 (Base64-encoded, ASCII Dc ID list)",document,,,,,,,,,,
112,Utf8_Dc64_enc,"UTF-8 (Base64-encoded, ASCII Dc ID list; with headers)",document,,,,,,,,,,
113,Utf8_Dc64_bin,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding)",document,,,,,,,,,,
114,Utf8_Dc64_bin_hex,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; hex-encoded)",document,,,,,,,,,,
115,Utf8_Dc64_bin_enc,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; with headers)",document,,,,,,,,,,
116,Utf8_Dc64_bin_enc_hex,"UTF-8 (Base64-encoded, DCE 3.01a+ encoding; with headers; hex-encoded)",document,,,,,,,,,,
117,HtmlLegacyCdce,HTML (legacy CDCE output),document,,,,,,,,,,
118,HtmlLegacyCdceSnippet,HTML (snippet) (legacy CDCE output),document,,,,,,,,,,
119,AppleScript,AppleScript,programming,,,,,,,,,,
120,TypeScript,TypeScript,programming,,,,,,,,,,
121,Perl,Perl,programming,,,,,,,,,,
122,Bash,Bash,programming,,,,,,,,,,
123,C,C,programming,,,,,,,,,,
124,Cpp,C++,programming,,,,,,,,,,
125,Cs,C#,programming,,,,,,,,,,
126,Java,Java,programming,,,,,,,,,,
127,Perl5,Perl 5,programming,,,,,Perl,,,,,
128,Perl6,Perl 6 (quite different from earlier Perl versions),programming,,,,,,,,,,
129,Raku,Raku (successor of Perl 6),programming,,,,,Perl6,,,,,
130,Rust,Rust,programming,,,,,,,,,,
131,Php,PHP,programming,,,,,,,,,,
132,Sh,POSIX sh,programming,,,,,,,,,,
133,StageL,StageL,programming,,,.stagel,,,,,,,
134,StageLParseResult,StageL parse result,programming,,,,,,,,,,
135,Elf,ELF (Executable and Linkable Format),executable,,,", .axf, .bin, .elf, .o, .out, .prx, .puff, .ko, .mod, .so, .AppImage",,,,,,,
136,Pe,PE (Portable Executable),executable,,,".exe, .com, .dll, .sys, .acm, .ax, .cpl, .drv, .efi, .ime, .mui, .ocx, .scr, .tsp, .msstyles",,,,,,,
137,MachO,Mach-O (Mach object),executable,,,", .o, .dylib, .kext",,,,,,,
138,DebianPackage,Debian package,executable,,,.deb,,,,,,,
139,Lang_Ar,Arabic - العربية,language,,,,,,,,,,
140,Lang_Bn,Bengali - বাংলা,language,,,,,,,,,,
141,Lang_De,German - Deutsch,language,,,,,,,,,,
142,Lang_En_Gb,English (UK),language,,,,,,,,,,
143,Lang_Es,Spanish - Español,language,,,,,,,,,,
144,Lang_Fa,Farsi - فارسی,language,,,,,,,,,,
145,Lang_Fil,Filipino,language,,,,,,,,,,
146,Lang_Fr,French - Français,language,,,,,,,,,,
147,Lang_Hi,Hindi - हिन्दी,language,,,,,,,,,,
148,Lang_Id,Indonesian - Bahasa Indonesia,language,,,,,,,,,,
149,Lang_It,Italian - Italiano,language,,,,,,,,,,
150,Lang_Ja,Japanese - 日本語,language,,,,,,,,,,
151,Lang_Ko,Korean - 한국어,language,,,,,,,,,,
152,Lang_Nl,Dutch - Nederlands,language,,,,,,,,,,
153,Lang_Pl,Polish - Polski,language,,,,,,,,,,
154,Lang_Pt,Portuguese - Português,language,,,,,,,,,,
155,Lang_Pt_Br,Brasilian Portuguese - Português (Brasil),language,,,,,,,,,,
156,Lang_Ru,Russian - Русский,language,,,,,,,,,,
157,Lang_Tr,Turkish - Türkçe,language,,,,,,,,,,
158,Lang_Ur,Urdu - اردو,language,,,,,,,,,,
159,Lang_Vi,Vietnamese - Tiếng Việt,language,,,,,,,,,,
160,Lang_Zh_Cn,Chinese - 简体中文,language,,,,,,,,,,
161,Tar,`tar` (tape archive),container,,,,,,,,,,
162,Zip,ZIP archive,container,,,,,,,,,,
163,CtbAssetBundle,Collective Toolbox asset bundle,container,,,,,,,,,,
164,Pdf,PDF (Portable Document Format),document,,,,,,,,,,
165,Markdown,Markdown,document,,,,,,,,,,
166,Troff,Troff,document,,,,,,,,,,
167,Rss,"RSS 2, the common RSS format",document,,,,,,,,,,
168,Rss09,RSS 0.90,document,,,,,,,,,,
169,Rss091Netscape,"RSS 0.91, Netscape version",document,,,,,,,,,,
170,Rss091UserLand,"RSS 0.91, UserLand version",document,,,,,,,,,,
171,Rss092,RSS 0.92,document,,,,,,,,,,
172,Rss1,RSS 1.0,document,,,,,,,,,,
173,ScriptingNews10,Scripting News 1.0a2,document,,,,,,,,,,
174,ScriptingNews20,Scripting News 2.0b1,document,,,,,,,,,,
175,Atom,Atom,document,,,,,,,,,,
176,HAtom,hAtom,document,,,,,,,,,,
177,JsonFeed11,JSON Feed 1.1,document,,,,,,,,,,
178,WfscanOutput,`wfscan` output (a tool to make some binary data and file formats more readable),document,,,,,,,,,,
179,WfparseOutput,`wfparser` output (a tool to make some binary data and file formats more readable),document,,,,,,,,,,
180,Csv,Comma-Separated Values,database,,,,,,,,,,
181,Tsv,Tab-Separated Values,database,,,,,,,,,,
182,Ssv,Semicolon-Separated Values,database,,,,,,,,,,
183,Multipart,Multipart form data,database,,,,,,,,,,
184,Json,JSON,database,,,,,,,,,,
185,Jsonc,JSONC,database,,,,,,,,,,
186,Xml,XML,database,,,,,,,,,,
187,Warc,WARC,database,,,,,,,,,,
188,Pan,Panorama database,database,,,,,,,,,,
189,Sqlite,SQLite database,database,,,,,,,,,,
190,IaMetaJson,Internet Archive metadata JSON,database,,,,,JSON,,,,,
191,IaFilesXml,Internet Archive files XML,database,,,,,XML,,,,,
192,IaMetaXml,Internet Archive metadata XML,database,,,,,XML,,,,,
193,IaMetaSqlite,Internet Archive metadata SQLite,database,,,,,SQLite,,,,,
194,Clubcard,Clubcard data,database,,,,,,,,,,
195,CrliteFilter,CRLite filter data,database,,,,,,,,,,
196,CrliteFilterDelta,CRLite filter delta,database,,,,,,,,,,
197,CommonLogFormat,NCSA Common Log Format,database,,,,,,,,,,
198,ExtendedLogFormat,W3C Extended Log Format,database,,,,,,,,,,
199,Integer,Integer number,number,,,,,,,,,,
200,Natural,Natural number,number,,,,,,,,,,
201,Positive,Positive number,number,,,,,,,,,,
202,Negative,Negative number,number,,,,,,,,,,
203,U8,8-bit unsigned integer,number,,,,,,,,,,
204,I8,8-bit signed integer,number,,,,,,,,,,
205,U16,16-bit unsigned integer,number,,,,,,,,,,
206,I16,16-bit signed integer,number,,,,,,,,,,
207,U32,32-bit unsigned integer,number,,,,,,,,,,
208,I32,32-bit signed integer,number,,,,,,,,,,
209,U64,64-bit unsigned integer,number,,,,,,,,,,
210,I64,64-bit signed integer,number,,,,,,,,,,
211,U128,128-bit unsigned integer,number,,,,,,,,,,
212,I128,128-bit signed integer,number,,,,,,,,,,
213,Float,Floating-point number,number,,,,,,,,,,
214,Fixed,Fixed-point number,number,,,,,,,,,,
215,Pack32,Pack32 (encoded 32-bit value),number,,,,,,,,,,
216,Gregorian,Gregorian calendar,calendar,,,,,,,,,,
217,Julian,Julian calendar,calendar,,,,,,,,,,
218,DateString,A string representing a date,semantic,,,,,,,,,,
219,TimeString,A string representing a time,semantic,,,,,,,,,,
220,DateTimeString,A string representing a date and time,semantic,,,,,,,,,,
221,PanDate,Panorama date,date,,,,,,,,,,
222,PanTime,Panorama time,date,,,,,,,,,,
223,PanSuperDate,Panorama SuperDate,date,,,,,,,,,,
224,MathExpression,Math expression,semantic,,,,,,,,,,
225,Pem,"PEM printable encoding (Privacy-Enhanced Mail, RFC 7468)",database,,,,,,,,,,
226,IpAddr,IP address,identifier,,,,,,,,,,
227,Uri,URI (Uniform Resource Identifier),identifier,,,,,,,,,,
228,FileName,File name,identifier,,,,,,,,,,
229,FilePath,File path,identifier,,,,,,,,,,
230,Lnk,Windows shortcut,identifier,,,,,,,,,,
231,MacAlias,Mac alias,identifier,,,,,,,,,,
232,MacBookmark,Mac bookmark,identifier,,,,,,,,,,
233,Torrent,Torrent,identifier,,,,,,,,,,
234,Btih,Torrent info hash,identifier,,,,,,,,,,
235,Magnet,Magnet URI,identifier,,,,,,,,,,
236,IaIdentifier,Internet Archive item identifier,identifier,,,,,,,,,,
237,IaArchiveTorrent,Internet Archive item torrent,identifier,,,,,,,,,,
238,XxHash32,xxHash32,hash,,,,,,,,,,
239,XxHash64,xxHash64,hash,,,,,,,,,,
240,XxHash3_64,xxHash3-64,hash,,,,,,,,,,
241,XxHash3_128,xxHash3-128,hash,,,,,,,,,,
242,Md5,MD5,hash,,,,,,,,,,
243,Md6,MD6,hash,,,,,,,,,,
244,Sha1,SHA-1,hash,,,,,,,,,,
245,Sha256,SHA-256,hash,,,,,,,,,,
246,Sha512,SHA-512,hash,,,,,,,,,,
247,Sha3,SHA-3,hash,,,,,,,,,,
248,Tiger,Tiger checksum,hash,,,,,,,,,,
249,Whirlpool,Whirlpool checksum,hash,,,,,,,,,,
250,Adler32,Adler32,hash,,,,,,,,,,
251,Fletcher4,Fletcher4,hash,,,,,,,,,,
252,Fletcher8,Fletcher8,hash,,,,,,,,,,
253,Fletcher16,Fletcher16,hash,,,,,,,,,,
254,Fletcher32,Fletcher32,hash,,,,,,,,,,
255,Crc32,CRC-321,hash,,,,,,,,,,
256,Cksum,`cksum`,hash,,,,,,,,,,
257,BsdChecksum,BSD checksum,hash,,,,,,,,,,
258,SysvChecksum,SYSV checksum,hash,,,,,,,,,,
259,Hmac,HMAC,hash,,,,,,,,,,
260,Blake,BLAKE,hash,,,,,,,,,,
261,Blake2,BLAKE2,hash,,,,,,,,,,
262,Blake3,BLAKE3,hash,,,,,,,,,,
263,UserAgent,User-Agent string,hash,,,,,,,,,,
264,FileExtension,File extension,hash,,,,,,,,,,
265,UriProtocol,URI protocol,hash,,,,,,,,,,
266,TerminalMouse,Character-mode videoterminal supporting mouse input,device_caps,,,,,,,,,,
267,TerminalGraphics,Character-mode videoterminal supporting graphics,device_caps,,,,,,,,,,
268,TerminalSixelGraphics,Character-mode videoterminal supporting sixel graphics,device_caps,,,,,,,,,,
269,TerminalIterm2Graphics,Character-mode videoterminal supporting iTerm2 graphics,device_caps,,,,,,,,,,
270,TerminalKittyGraphics,Character-mode videoterminal supporting Kitty graphics,device_caps,,,,,,,,,,
271,RasterDisplay,Raster display,device_caps,,,,,,,,,,
272,VectorDisplay,Vector display,device_caps,,,,,,,,,,
273,RenderModeImmediate,Render everything immediately without interactive features,device_caps,,,,,,,,,,
274,RenderModeInteractive,Render with interactive features enabled,device_caps,,,,,,,,,,
275,Unknown,Unknown data,armor,,application/octet-stream,,,,,,,,
276,Csur,ConScript Unicode Registry,v:unicodePua,,,,,,,,,,
277,Ecsur,Extended ConScript Unicode Registry,v:unicodePua,,,,,,,,,,
278,Mime,Multipurpose Internet Mail Extensions,document,,,,,,,,,,
279,QuotedPrintable,Quoted-Printable,armor,,,,,,,,,,
280,Uuencode,Uuencode,armor,,,,,,,,,,
281,YEnc,yEnc,armor,,,,,,,,,,
282,BinHex,The common BinHex 4 format,armor,,"application/mac-binhex40, application/mac-binhex, application/binhex",.hqx,,,,,,,
283,BinHexTrs80,BinHex for TRS-80,armor,,,.hex,,,,,,,
284,BinHex1,BinHex 1 for Macintosh,armor,,,,,,,,,,
285,BinHex2,BinHex 2,armor,,,.hcx,,,,,,,
286,BinHex5,BinHex 5,armor,,,,,,,,,,
287,MacBinary,MacBinary,armor,,"application/macbinary, application/x-macbinary",".bin, .macbin",,,,,,,
